Id,Label,timeset,lat,long,parish,population,modularity_class,Weighted Degree,recovery weight
St. Ann's Bay,St. Ann's Bay,,18.432947,-77.1974,Saint Ann,4601.2,5,5,0.25
Priory,Priory,,18.439175,-77.224708,Saint Ann,4601.2,5,5,0.25
Philadelphia,Philadelphia,,18.39317,-77.31952,Saint Ann,4601.2,5,5,0.25
York Castle,York Castle,,18.388052,-77.364536,Saint Ann,4601.2,5,5,0.25
Lime Hall,Lime Hall,,18.428506,-77.203429,Saint Ann,4601.2,5,5,0.25
Cole Gate,Cole Gate,,18.357073,-77.090049,Saint Ann,4601.2,1,5,0.25
Braeton,Braeton,,17.949508,-76.889391,Saint Catherine,6078,0,5,0.25
Spanish Town Central,Spanish Town Central,,18.019317,-76.975827,Saint Catherine,6078,0,5,0.25
Cromarty,Cromarty,,17.9827,-76.971507,Saint Catherine,6078,0,5,0.25
Hellshire,Hellshire,,17.897913,-76.894074,Saint Catherine,6078,7,5,0.25
Greater Portmore,Greater Portmore,,17.94798,-76.909565,Saint Catherine,6078,0,5,0.25
Bogwalk,Bogwalk,,18.105767,-77.007506,Saint Catherine,6078,0,5,0.25
Hampton Green,Hampton Green,,18.002845,-76.968627,Saint Catherine,6078,0,5,0.25
Sligoville,Sligoville,,18.093398,-76.975667,Saint Catherine,6078,0,5,0.25
Greendale,Greendale,,17.996237,-76.945172,Saint Catherine,6078,0,5,0.25
Ensom,Ensom,,18.011945,-76.963586,Saint Catherine,6078,0,5,0.25
Naggo Head,Naggo Head,,17.968093,-76.885067,Saint Catherine,6078,0,5,0.25
Willowdene,Willowdene,,17.995106,-76.983028,Saint Catherine,6078,0,5,0.25
Golden Acres,Golden Acres,,18.022518,-76.978427,Saint Catherine,6078,0,5,0.25
Bridgeport,Bridgeport,,17.96189,-76.879303,Saint Catherine,6078,0,5,0.25
Gregory Park,Gregory Park,,17.998693,-76.886508,Saint Catherine,6078,0,5,0.25
Old Harbour Road,Old Harbour Road,,17.980318,-76.998926,Saint Catherine,6078,0,5,0.25
Central Village,Central Village,,18.000664,-76.915328,Saint Catherine,6078,0,5,0.25
Kitson Town,Kitson Town,,18.018148,-77.052309,Saint Catherine,6078,7,5,0.25
Waterford,Waterford,,17.98744,-76.870655,Saint Catherine,6078,0,5,0.25
Keystone,Keystone,,18.018513,-76.942701,Saint Catherine,6078,0,5,0.25
St. John's East,St. John's East,,18.005143,-76.966906,Saint Catherine,6078,0,5,0.25
Troja,Troja,,18.208967,-76.922532,Saint Catherine,6078,0,5,0.25
Crescent,Crescent,,18.008796,-77.00368,Saint Catherine,6078,0,5,0.25
St. John's West,St. John's West,,18.004432,-77.034857,Saint Catherine,6078,0,5,0.25
Cumberland,Cumberland,,17.97661,-76.882185,Saint Catherine,6078,0,5,0.25
Passage Fort,Passage Fort,,17.981236,-76.864889,Saint Catherine,6078,0,5,0.25
Edgewater,Edgewater,,17.964203,-76.870655,Saint Catherine,6078,0,5,0.25
Independence City,Independence City,,17.982148,-76.881187,Saint Catherine,6078,0,5,0.25
Glengoffe,Glengoffe,,18.141852,-76.887229,Saint Catherine,22656.36364,1,5,0.25
Treasure Beach,Treasure Beach,,17.881749,-77.759513,Saint Elizabeth,3163.8,3,5,0.25
Bigwoods,Bigwoods,,17.937066,-77.713731,Saint Elizabeth,3163.8,3,5,0.25
Thornton,Thornton,,18.173463,-77.725353,Saint Elizabeth,3163.8,3,5,0.25
Slipe,Slipe,,18.046656,-77.788118,Saint Elizabeth,3163.8,3,5,0.25
Rose Hall,Rose Hall,,17.931334,-77.646955,Saint Elizabeth,3163.8,3,5,0.25
Junction,Junction,,17.899982,-77.604711,Saint Elizabeth,3163.8,3,5,0.25
Pisgah,Pisgah,,18.204446,-77.879617,Saint Elizabeth,3163.8,2,5,0.25
Braes River,Braes River,,18.080271,-77.647368,Saint Elizabeth,3163.8,3,5,0.25
Goshen,Goshen,,18.078846,-77.69942,Saint Elizabeth,3163.8,3,5,0.25
Ballards  Valley,Ballards  Valley,,17.897222,-77.613056,Saint Elizabeth,3163.8,3,5,0.25
Pedro Plains,Pedro Plains,,17.891718,-77.728331,Saint Elizabeth,3163.8,3,5,0.25
Watchwell,Watchwell,,17.935705,-77.760944,Saint Elizabeth,3163.8,3,5,0.25
Leeds,Leeds,,18.018349,-77.69012,Saint Elizabeth,3163.8,3,5,0.25
Giddy Hall,Giddy Hall,,18.111408,-77.860846,Saint Elizabeth,3163.8,3,5,0.25
Pepper,Pepper,,18.050308,-77.640726,Saint Elizabeth,3163.8,3,5,0.25
Middle Quarters,Middle Quarters,,18.102018,-77.833869,Saint Elizabeth,3163.8,3,5,0.25
Top Hill,Top Hill,,17.892578,-77.637542,Saint Elizabeth,3163.8,3,5,0.25
Lititz,Lititz,,17.941642,-77.580584,Saint Elizabeth,3163.8,3,5,0.25
Bull Savannah,Bull Savannah,,17.884618,-77.595062,Saint Elizabeth,3163.8,3,5,0.25
Aberdeen,Aberdeen,,18.198852,-77.708006,Saint Elizabeth,3163.8,3,5,0.25
Red Bank,Red Bank,,17.927427,-77.629677,Saint Elizabeth,3163.8,3,5,0.25
Holland,Holland,,18.06562,-77.757854,Saint Elizabeth,3163.8,3,5,0.25
Brighton,Brighton,,18.094564,-77.702125,Saint Elizabeth,3163.8,3,5,0.25
Hopeton,Hopeton,,17.995202,-76.925897,Saint Elizabeth,3163.8,0,5,0.25
Newton,Newton,,18.100438,-77.697318,Saint Elizabeth,3163.8,3,5,0.25
West Green,West Green,,18.460884,-77.925303,Saint James,2654.35,2,5,0.25
Catherine Hall,Catherine Hall,,18.461236,-77.921745,Saint James,2654.35,2,5,0.25
Rose Heights,Rose Heights,,18.476223,-77.89389,Saint James,2654.35,2,5,0.25
Down Town Montego Bay,Down Town Montego Bay,,18.476223,-77.89389,Saint James,2654.35,2,5,0.25
Brandon Hill,Brandon Hill,,18.475773,-77.911032,Saint James,2654.35,2,5,0.25
Orange,Orange,,18.480123,-77.922791,Saint James,2654.35,2,5,0.25
Granville,Granville,,18.445859,-77.898175,Saint James,2654.35,2,5,0.25
Bogue,Bogue,,18.441496,-77.923856,Saint James,2654.35,2,5,0.25
Pitfour,Pitfour,,18.442003,-77.896157,Saint James,2654.35,2,5,0.25
Norwood,Norwood,,18.492567,-77.90276,Saint James,2654.35,2,5,0.25
Mount Salem,Mount Salem,,18.466837,-77.906747,Saint James,2654.35,2,5,0.25
Albion,Albion,,18.482164,-77.918174,Saint James,2654.35,2,5,0.25
Flankers,Flankers,,18.504223,-77.898175,Saint James,2654.35,2,5,0.25
Unity Hall,Unity Hall,,18.448071,-77.978148,Saint James,2654.35,2,5,0.25
Dumfries,Dumfries,,18.422406,-77.76526,Saint James,2654.35,2,5,0.25
John's Hall,John's Hall,,18.419571,-77.852451,Saint James,2654.35,2,5,0.25
Catadupa,Catadupa,,18.279485,-77.873886,Saint James,2654.35,2,5,0.25
Somerton,Somerton,,18.429898,-77.788121,Saint James,2654.35,2,5,0.25
Rose Mount Garden,Rose Mount Garden,,18.468336,-77.896032,Saint James,2654.35,2,5,0.25
Barrett Town,Barrett Town,,18.509728,-77.801648,Saint James,2654.35,2,5,0.25
Paradise,Paradise,,18.476004,-77.922032,Saint James,2654.35,2,5,0.25
Lilliput,Lilliput,,18.51239,-77.776677,Saint James,2654.35,2,5,0.25
Green Pond,Green Pond,,18.47158,-77.872815,Saint James,2654.35,2,5,0.25
